true_label,true_binary,predicted,anomaly_score,is_anomaly
Erreur de configuration,Anomalie,Normal,-0.349982043350287,0
Erreur de configuration,Anomalie,Normal,-0.363648521636677,0
Erreur de configuration,Anomalie,Normal,-0.3481154608397824,0
Erreur de configuration,Anomalie,Normal,-0.36073380933524213,0
Erreur de configuration,Anomalie,Normal,-0.38036525878462,0
Erreur de configuration,Anomalie,Normal,-0.3532753859255665,0
Erreur de configuration,Anomalie,Normal,-0.3472732377385689,0
Erreur de configuration,Anomalie,Normal,-0.4233743814049685,0
Erreur de configuration,Anomalie,Normal,-0.3498585895563021,0
Erreur de configuration,Anomalie,Normal,-0.3541931147626484,0
Erreur de configuration,Anomalie,Normal,-0.4293774994688472,0
Erreur de configuration,Anomalie,Normal,-0.47382477516299976,0
Erreur de configuration,Anomalie,Anomalie,-0.5586167806664843,1
Erreur de configuration,Anomalie,Normal,-0.43386987544380134,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3430047637102031,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.39469255837993533,0
Erreur de configuration,Anomalie,Normal,-0.37364559544840004,0
Erreur de configuration,Anomalie,Normal,-0.3958539224715187,0
Erreur de configuration,Anomalie,Normal,-0.3520746383054866,0
Erreur de configuration,Anomalie,Normal,-0.35470219599511593,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3758522390326221,0
Erreur de configuration,Anomalie,Normal,-0.3472732377385689,0
Erreur de configuration,Anomalie,Normal,-0.3611960125232483,0
Erreur de configuration,Anomalie,Normal,-0.3634464035196163,0
Erreur de configuration,Anomalie,Normal,-0.40708675290383206,0
Erreur de configuration,Anomalie,Normal,-0.3742317539679043,0
Erreur de configuration,Anomalie,Normal,-0.3706036152736633,0
Erreur de configuration,Anomalie,Normal,-0.3799692537659652,0
Erreur de configuration,Anomalie,Normal,-0.3834716029223356,0
Erreur de configuration,Anomalie,Normal,-0.40799484829715565,0
Erreur de configuration,Anomalie,Normal,-0.38952813270368075,0
Erreur de configuration,Anomalie,Normal,-0.4345433105171854,0
Erreur de configuration,Anomalie,Normal,-0.434442499419261,0
Erreur de configuration,Anomalie,Normal,-0.38638094676786067,0
Erreur de configuration,Anomalie,Normal,-0.3908286375267737,0
Erreur de configuration,Anomalie,Normal,-0.34637925931876573,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.34631392053443355,0
Erreur de configuration,Anomalie,Normal,-0.3452139925829185,0
Erreur de configuration,Anomalie,Normal,-0.34811857029357485,0
Erreur de configuration,Anomalie,Normal,-0.35338919240894356,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.3436597307277421,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.34126307999990324,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.3434716500751215,0
Erreur de configuration,Anomalie,Normal,-0.387718071361202,0
Erreur de configuration,Anomalie,Normal,-0.38734636968937736,0
Erreur de configuration,Anomalie,Normal,-0.3976945595599524,0
Erreur de configuration,Anomalie,Normal,-0.36784488379516395,0
Erreur de configuration,Anomalie,Normal,-0.4010397243796279,0
Erreur de configuration,Anomalie,Normal,-0.37005485619454437,0
Erreur de configuration,Anomalie,Normal,-0.40689984366753734,0
Erreur de configuration,Anomalie,Normal,-0.391422047603949,0
Erreur de configuration,Anomalie,Normal,-0.4246638111382879,0
Erreur de configuration,Anomalie,Normal,-0.45367964721305,0
Erreur de configuration,Anomalie,Normal,-0.4204045149134168,0
Erreur de configuration,Anomalie,Normal,-0.4191889784882327,0
Erreur de configuration,Anomalie,Normal,-0.3698190967868435,0
Erreur de configuration,Anomalie,Normal,-0.40594465973699845,0
Erreur de configuration,Anomalie,Normal,-0.4375696910938982,0
Erreur de configuration,Anomalie,Normal,-0.3410291984472244,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.34414610859038297,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.34623883549942,0
Erreur de configuration,Anomalie,Normal,-0.3458130621346835,0
Erreur de configuration,Anomalie,Normal,-0.3452139925829185,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.3526368327940229,0
Erreur de configuration,Anomalie,Normal,-0.38482568405704537,0
Erreur de configuration,Anomalie,Normal,-0.4014468508939713,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.35470219599511593,0
Erreur de configuration,Anomalie,Normal,-0.35815481537353644,0
Erreur de configuration,Anomalie,Normal,-0.4017623352776165,0
Erreur de configuration,Anomalie,Normal,-0.36203759015776665,0
Erreur de configuration,Anomalie,Normal,-0.42059021922169443,0
Erreur de configuration,Anomalie,Normal,-0.4304130356311783,0
Erreur de configuration,Anomalie,Normal,-0.3684447451478309,0
Erreur de configuration,Anomalie,Normal,-0.3545295346170479,0
Erreur de configuration,Anomalie,Normal,-0.4342215712597579,0
Erreur de configuration,Anomalie,Normal,-0.3802683484196686,0
Erreur de configuration,Anomalie,Normal,-0.3828521031768587,0
Erreur de configuration,Anomalie,Normal,-0.38356219682003095,0
Erreur de configuration,Anomalie,Normal,-0.4387593078299626,0
Erreur de configuration,Anomalie,Normal,-0.4026987209953161,0
Erreur de configuration,Anomalie,Normal,-0.4319560102925589,0
Erreur de configuration,Anomalie,Normal,-0.34623725235381286,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.34142615305452173,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.38876446147839194,0
Erreur de configuration,Anomalie,Normal,-0.3925812781786934,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.35542581637210174,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.3455321694034679,0
Erreur de configuration,Anomalie,Normal,-0.33943112983466767,0
Erreur de configuration,Anomalie,Normal,-0.3846012235144214,0
Erreur de configuration,Anomalie,Normal,-0.37093348654587055,0
Erreur de configuration,Anomalie,Normal,-0.3950151164937442,0
Erreur de configuration,Anomalie,Normal,-0.3465483110775615,0
Erreur de configuration,Anomalie,Normal,-0.4008682870504993,0
Erreur de configuration,Anomalie,Normal,-0.36345835863140713,0
Erreur de configuration,Anomalie,Normal,-0.37790115622720866,0
Erreur de configuration,Anomalie,Normal,-0.3849399429376016,0
Erreur de configuration,Anomalie,Normal,-0.38189111435580714,0
Erreur de configuration,Anomalie,Normal,-0.3935763262455401,0
Erreur de configuration,Anomalie,Normal,-0.4158369921091933,0
Erreur de configuration,Anomalie,Normal,-0.43018097412578304,0
Erreur de configuration,Anomalie,Normal,-0.4031898974182912,0
Erreur de configuration,Anomalie,Normal,-0.3885914443539595,0
Erreur de configuration,Anomalie,Normal,-0.3873012420116104,0
Erreur de configuration,Anomalie,Normal,-0.45087275766833645,0
Erreur de configuration,Anomalie,Anomalie,-0.5196710631200806,1
Erreur de configuration,Anomalie,Normal,-0.4043941007820079,0
Erreur de configuration,Anomalie,Normal,-0.3563899706508476,0
Erreur de configuration,Anomalie,Normal,-0.33989300205049355,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.3452139925829185,0
Erreur de configuration,Anomalie,Normal,-0.3412459369349883,0
Erreur de configuration,Anomalie,Normal,-0.3490207514867674,0
Erreur de configuration,Anomalie,Normal,-0.34728316907086554,0
Erreur de configuration,Anomalie,Normal,-0.38129860562316253,0
Erreur de configuration,Anomalie,Normal,-0.36946810012339343,0
Erreur de configuration,Anomalie,Normal,-0.38102326317742924,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.34690268606556846,0
Erreur de configuration,Anomalie,Normal,-0.3508506036955795,0
Erreur de configuration,Anomalie,Normal,-0.33851296977688866,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.3461375067494825,0
Erreur de configuration,Anomalie,Normal,-0.36745868538500015,0
Erreur de configuration,Anomalie,Normal,-0.3544589441087707,0
Erreur de configuration,Anomalie,Normal,-0.3680152510384926,0
Erreur de configuration,Anomalie,Normal,-0.3537716138431455,0
Erreur de configuration,Anomalie,Normal,-0.36791427919419833,0
Erreur de configuration,Anomalie,Normal,-0.35495212147345795,0
Erreur de configuration,Anomalie,Normal,-0.36630712248974723,0
Erreur de configuration,Anomalie,Normal,-0.474574763695512,0
Erreur de configuration,Anomalie,Normal,-0.38296809164249934,0
Erreur de configuration,Anomalie,Normal,-0.3986891300000995,0
Erreur de configuration,Anomalie,Normal,-0.36503995664831307,0
Erreur de configuration,Anomalie,Normal,-0.36843527082934846,0
Erreur de configuration,Anomalie,Normal,-0.46906074378243745,0
Erreur de configuration,Anomalie,Normal,-0.34747836386856384,0
Erreur de configuration,Anomalie,Normal,-0.3478471224141915,0
Erreur de configuration,Anomalie,Normal,-0.3397837015839723,0
Erreur de configuration,Anomalie,Normal,-0.3897783100730896,0
